date,new_cases,total_cases,new_deaths,total_deaths,new cases (7 day average),new cases (14 day average),cumulative cases (14 day average),S,C,LCG
2020-06-06,0.0,774.0,0.0,51.0,1.2857142857142858,0.7857142857142857,770.5714285714286,0.8848893786424342,9.767161129356877,1.6932168300583081
2020-06-07,0.0,774.0,0.0,51.0,1.1428571428571428,0.7857142857142857,771.3571428571429,0.8821799520741422,9.797158870518924,1.2908015733136509
2020-06-08,0.0,774.0,0.0,51.0,0.14285714285714285,0.7857142857142857,772.1428571428571,0.8825638240086909,9.792897587395371,1.2906252504603564
2020-06-09,0.0,774.0,0.0,51.0,0.0,0.7857142857142857,772.9285714285714,0.8830539148068239,9.787462574975216,1.2903191907871232
2020-06-10,0.0,774.0,0.0,51.0,0.14285714285714285,0.7142857142857143,773.6428571428571,0.8831098369791299,8.897129811190792,0.9074327390763941
2020-06-11,0.0,774.0,0.0,51.0,0.14285714285714285,0.7142857142857143,774.3571428571429,0.8832296689135994,8.895922695630677,0.6842580990746807
2020-06-12,0.0,774.0,0.0,51.0,0.14285714285714285,0.21428571428571427,774.5714285714286,0.8836535160273418,2.6674967217240417,-1.3087159384320453
2020-06-13,1.0,775.0,0.0,51.0,0.14285714285714285,0.21428571428571427,774.7857142857143,0.8851658938364141,2.662939086962242,-1.397601334847538
2020-06-14,0.0,775.0,0.0,51.0,0.2857142857142857,0.21428571428571427,775.0,0.8842938190504628,2.6655652299751575,-1.3965703653510038
2020-06-15,0.0,775.0,0.0,51.0,0.2857142857142857,0.21428571428571427,775.2142857142857,0.88258695605137,2.6707202513943136,-1.3899529526838594
2020-06-16,0.0,775.0,0.0,51.0,0.42857142857142855,0.21428571428571427,775.4285714285714,0.8820216837616801,2.672431869350449,-1.3016429184382532
2020-06-17,1.0,776.0,1.0,52.0,0.2857142857142857,0.21428571428571427,775.6428571428571,0.8823876346965782,2.671323536796155,-1.3004915265141073
2020-06-18,0.0,776.0,0.0,52.0,0.2857142857142857,0.21428571428571427,775.8571428571429,0.8825962806401088,2.670692035358821,-1.3002945938345123
2020-06-19,1.0,777.0,0.0,52.0,0.2857142857142857,0.21428571428571427,776.0714285714286,0.8828153342628491,2.670029354566062,-1.2987961920531572
2020-06-20,0.0,777.0,0.0,52.0,0.2857142857142857,0.21428571428571427,776.2857142857143,0.8847323489539443,2.6642440054665175,-1.2991055115252932
2020-06-21,0.0,777.0,0.0,52.0,0.14285714285714285,0.14285714285714285,776.4285714285714,0.8855883630629441,1.7744458226546056,-1.708604270882693
2020-06-22,0.0,777.0,0.0,52.0,0.14285714285714285,0.14285714285714285,776.5714285714286,0.8861180414040033,1.7733851450972975,-1.7087671555296247
2020-06-23,0.0,777.0,0.0,52.0,0.0,0.14285714285714285,776.7142857142857,0.8850101998242669,1.7756050401911798,-1.7069610049937702
2020-06-24,0.0,777.0,0.0,52.0,0.0,0.14285714285714285,776.8571428571429,0.8833627438554758,1.7789165123378443,-1.609724253564801
2020-06-25,0.0,777.0,0.0,52.0,0.0,0.07142857142857142,776.9285714285714,0.887441696817808,0.8853700344841843,-2.307342650980734
2020-06-26,0.0,777.0,0.0,52.0,0.0,0.07142857142857142,777.0,0.8902020734041597,0.8826246412903651,-1.1059957387815693
2020-06-27,0.0,777.0,0.0,52.0,0.0,0.0,777.0,0.8943510506798517,0.0,-inf
2020-06-28,0.0,777.0,0.0,52.0,0.0,0.0,777.0,,,
2020-06-29,0.0,777.0,0.0,52.0,0.0,0.0,777.0,,,
2020-06-30,0.0,777.0,0.0,52.0,0.0,0.0,777.0,0.8868276793517121,0.0,-inf
2020-07-01,0.0,777.0,0.0,52.0,0.0,0.0,777.0,0.8880506110259735,0.0,-inf
2020-07-02,0.0,777.0,0.0,52.0,0.0,0.0,777.0,0.8873868532353058,0.0,-inf
2020-07-03,0.0,777.0,0.0,52.0,0.0,0.0,777.0,0.8920942329057671,0.0,-inf
2020-07-04,0.0,777.0,0.0,52.0,0.0,0.0,777.0,0.8997360549005807,0.0,-inf
2020-07-05,0.0,777.0,0.0,52.0,0.0,0.0,777.0,0.8964677665528018,0.0,-inf
2020-07-06,0.0,777.0,0.0,52.0,0.0,0.0,777.0,0.8883620689655173,0.0,-inf
2020-07-07,0.0,777.0,0.0,52.0,0.0,0.0,777.0,0.8879287737333473,0.0,-inf
