date,trips between parishes,users making trips between parishes,users making trips,total trips,users present,entrances,stay home users,portion of users staying home,fraction of people not staying home,trips between parishes from La Massana,trips between parishes from Sant Julià de Lòria,90th percentile trips,indoor interaction potential,outdoor interaction potential,interaction potential
2020-05-03,51317,35579,36762,291794,64504.0,423.0,16798,0.3336776449088236,0.6663223550911763,5877,3050,14.0,124795.42658730158,187169.40674603172,311964.83333333326
2020-05-04,82599,59087,44766,390307,65231.0,1014.0,12255,0.24229423278435713,0.7577057672156429,9259,6162,17.0,204805.378968254,232011.00992063485,436816.3888888888
2020-05-05,84461,60214,44794,391891,65448.0,639.0,12322,0.24320536859765124,0.7567946314023488,9598,6293,17.0,205611.1091269841,240399.36309523808,446010.4722222222
2020-05-06,84850,60904,45323,393859,65708.0,625.0,12072,0.23777821548158362,0.7622217845184164,9469,6259,17.0,211998.4265873016,242938.90674603172,454937.33333333326
2020-05-07,83170,60085,44908,387491,65863.0,556.0,12445,0.24488390397481308,0.7551160960251869,9181,6291,16.0,208681.97817460308,232402.16071428574,441084.13888888893
2020-05-08,85940,62512,45331,389621,66032.0,573.0,12246,0.24057048561999056,0.7594295143800094,9927,6703,16.0,210733.4206349205,231645.6765873017,442379.0972222222
2020-05-09,62219,43935,39426,322009,65952.0,327.0,15713,0.3086730183675474,0.6913269816324525,6906,4137,15.0,147392.6666666666,208352.0138888888,355744.6805555554
2020-05-10,42160,27853,33274,259948,65958.0,264.0,19795,0.38865546218487396,0.6113445378151261,4426,2510,13.0,115080.37896825395,178282.42658730157,293362.8055555555
2020-05-11,79003,56546,43211,368668,66259.0,504.0,13752,0.26962591169320055,0.7303740883067995,8617,6052,16.0,196537.95039682536,216705.5773809524,413243.52777777775
2020-05-12,84746,61378,45103,385633,66442.0,576.0,12635,0.24746851558062558,0.7525314844193745,9507,6384,16.0,207905.7837301587,219142.31349206352,427048.0972222222
2020-05-13,84802,61210,44263,376258,66490.0,487.0,13184,0.25809988058182104,0.7419001194181789,9451,6415,16.0,200747.78968253967,226124.15476190468,426871.9444444444
2020-05-14,80027,57702,42562,356936,66467.0,394.0,14349,0.2811489703548406,0.7188510296451593,8798,5979,16.0,186174.45436507935,216808.1567460317,402982.61111111107
2020-05-15,82625,60338,43185,361754,66456.0,339.0,13853,0.2714996864220759,0.7285003135779241,9210,6416,16.0,190922.11904761894,221121.56150793657,412043.68055555545
2020-05-16,62362,45782,38526,300557,66457.0,285.0,16603,0.3253385064566065,0.6746614935433934,7131,4538,14.0,138476.05555555553,189299.4444444445,327775.5
2020-05-17,67365,51218,39780,310369,66659.0,395.0,15728,0.3080358017195793,0.6919641982804208,8210,4310,14.0,123132.55555555555,177088.15277777778,300220.70833333326
2020-05-18,96509,71558,47133,405437,66962.0,587.0,11409,0.22306293624259488,0.7769370637574051,10940,7269,17.0,227658.9662698412,243777.7837301588,471436.75
2020-05-19,101132,75039,48073,415406,67197.0,639.0,10886,0.2126088824655287,0.7873911175344713,11643,7617,17.0,238982.94841269852,258616.5654761904,497599.51388888893
2020-05-20,99415,74049,47594,409170,67007.0,504.0,11104,0.21767853992276176,0.7823214600772382,11372,7546,16.0,231803.2063492063,247103.69642857142,478906.90277777775
2020-05-21,96107,72347,46579,385462,67141.0,537.0,11790,0.23119913717031082,0.7688008628296892,11260,7255,16.0,218594.48809523808,246257.99801587305,464852.48611111107
2020-05-22,100185,76465,46946,388579,66958.0,485.0,11305,0.22256127571611378,0.7774387242838863,11924,7853,16.0,217499.0694444444,235389.79166666672,452888.86111111107
2020-05-23,78731,62040,41818,320617,66919.0,365.0,14350,0.28266393523351785,0.7173360647664822,9983,5708,14.0,131688.97222222222,178318.2777777777,310007.2499999999
2020-05-24,61686,48523,38095,273017,66930.0,275.0,16650,0.32805942505861724,0.6719405749413827,7993,4178,12.0,101532.59920634922,151365.27579365086,252897.87500000012
2020-05-25,87351,66843,44890,346273,67070.0,483.0,12578,0.24809657185687797,0.751903428143122,10297,6643,14.0,202352.92460317453,220595.68650793654,422948.61111111107
2020-05-26,100088,76318,47222,383675,67206.0,529.0,11182,0.22059142648596397,0.779408573514036,12048,7701,16.0,218582.87301587305,232396.3492063491,450979.22222222213
2020-05-27,93840,71957,45994,361127,67311.0,525.0,11958,0.23596968979398533,0.7640303102060146,11364,7442,15.0,210099.5575396825,219920.81746031746,430020.375
2020-05-28,95975,73500,46641,372502,67392.0,484.0,11419,0.2254224573594441,0.7745775426405559,11131,7621,15.0,222428.06349206343,231248.82539682547,453676.88888888893
2020-05-29,102927,80261,47685,390100,67431.0,443.0,10833,0.21383734701934465,0.7861626529806554,12373,8469,16.0,239318.1011904762,250023.71825396825,489341.81944444455
2020-05-30,88479,70411,43126,343782,67429.0,374.0,13495,0.2666785234368825,0.7333214765631175,11396,6361,15.0,150157.32936507932,209015.24007936512,359172.5694444444
2020-05-31,75830,60161,41085,316270,67526.0,408.0,14830,0.29304825514761096,0.706951744852389,9623,5487,14.0,119163.34126984127,186097.96428571426,305261.3055555555
2020-06-01,82242,64019,44483,339389,69905.0,2718.0,15249,0.274361281036344,0.725638718963656,8732,6574,14.0,232840.4087301587,256625.35515873015,489465.76388888893
2020-06-02,121416,91757,52344,458457,70314.0,2392.0,10208,0.1826216075996923,0.8173783924003077,13349,10285,17.0,408858.3035714286,397516.9047619047,806375.2083333333
2020-06-03,103771,79316,47553,386588,71204.0,2692.0,14090,0.25183199285075963,0.7481680071492404,12115,8874,15.0,322278.3075396825,347271.9841269841,669550.2916666665
2020-06-04,110851,83896,49393,411486,71507.0,2676.0,12509,0.2233430938437366,0.7766569061562634,12295,9666,16.0,331714.46428571444,340659.8829365077,672374.3472222221
2020-06-05,124101,95269,51729,442386,72525.0,3383.0,11122,0.19760851411616295,0.802391485883837,14309,10462,16.0,378939.64484126976,385810.35515873006,764749.9999999999
2020-06-06,96322,76621,46299,356399,73636.0,4032.0,15267,0.2706674940164879,0.7293325059835121,11850,7789,14.0,249064.48611111112,285778.94444444444,534843.4305555555
2020-06-07,60537,47284,38276,265059,72016.0,2165.0,20625,0.36621743994033984,0.6337825600596602,6933,5142,11.0,156604.44047619044,206651.92063492065,363256.36111111107
2020-06-08,112138,85838,49880,412707,72325.0,2724.0,12359,0.21960233835000623,0.7803976616499938,12874,9586,16.0,354703.37896825396,346530.0793650793,701233.4583333333
2020-06-09,114185,86951,50531,414761,72702.0,2778.0,12078,0.21390241742672453,0.7860975825732754,13143,9482,16.0,384130.6587301585,365315.4662698413,749446.1249999999
2020-06-10,118614,90332,51097,427481,72804.0,2611.0,11731,0.20715900261354805,0.792840997386452,13643,9920,16.0,379776.8253968252,365974.4662698413,745751.2916666665
2020-06-11,116334,87083,50189,423641,72946.0,2626.0,12660,0.22359985163990886,0.7764001483600911,13092,9523,16.0,333420.21230158705,342142.9404761907,675563.1527777779
2020-06-12,129367,97952,52394,451758,73232.0,2994.0,11203,0.197406213106377,0.802593786893623,14290,11356,16.0,371174.4523809524,369590.6865079365,740765.1388888888
2020-06-13,99076,78426,46468,357662,74217.0,3742.0,15505,0.2729513247073321,0.7270486752926679,11340,8684,14.0,231712.3412698413,278144.2976190477,509856.638888889
2020-06-14,76615,60794,42209,301764,73678.0,3026.0,18283,0.3222639380959935,0.6777360619040065,8864,6443,12.0,155334.58928571426,208298.8412698413,363633.43055555545
2020-06-15,118077,89918,51051,429249,72627.0,2544.0,11910,0.21065105502396575,0.7893489449760343,12865,10471,16.0,343044.238095238,337557.97023809544,680602.2083333335
2020-06-16,112260,85238,49747,410021,72299.0,2196.0,12733,0.22527511411485793,0.7747248858851421,12326,10014,16.0,327084.58134920645,327829.0158730157,654913.5972222221
2020-06-17,119216,90604,51183,425527,72544.0,2355.0,11727,0.20730801866779805,0.792691981332202,12777,10602,16.0,357574.8432539681,347308.9484126985,704883.7916666665
2020-06-18,119709,90579,51201,432208,72693.0,2509.0,11905,0.21061477222467934,0.7893852277753206,13137,10538,16.0,359589.14484126976,346948.60515873024,706537.75
2020-06-19,121137,92914,51109,425565,72849.0,2765.0,12232,0.21608253250423967,0.7839174674957603,13548,10624,16.0,352713.74404761905,334432.7559523809,687146.5
2020-06-20,87793,70595,42942,322393,74081.0,3804.0,18628,0.3291631325982471,0.6708368674017529,10415,7941,13.0,216398.39484126988,244899.11904761905,461297.51388888893
2020-06-21,76446,62678,42077,294406,74649.0,4174.0,18976,0.33489225773432396,0.665107742265676,9324,7172,12.0,152307.62698412698,188857.58134920636,341165.2083333334
2020-06-22,119883,92750,52321,432335,75010.0,4718.0,12488,0.2206009645109435,0.7793990354890565,13750,11269,16.0,360556.99801587296,339655.22420634923,700212.2222222221
2020-06-23,84887,69780,47228,301780,74301.0,3323.0,15758,0.28048129294079954,0.7195187070592004,10131,8103,12.0,227992.9841269841,200413.40476190476,428406.38888888893
2020-06-24,39332,34664,32478,148522,73265.0,2859.0,25488,0.4549966082330679,0.5450033917669321,5057,3260,7.0,66685.65277777777,85486.18055555558,152171.83333333337
2020-06-25,116178,90637,51149,417183,75927.0,4572.0,13922,0.2458805037000406,0.7541194962999593,13234,11486,15.0,347035.5912698413,319739.03373015864,666774.625
2020-06-26,122162,96040,52925,426554,77843.0,5908.0,13635,0.2371675566610426,0.7628324433389574,14194,11840,15.0,348692.9563492064,325031.3908730157,673724.3472222221
2020-06-27,74299,63329,43330,267525,80900.0,7675.0,22387,0.39215583232609874,0.6078441676739013,9230,7910,10.0,162724.93849206358,146352.3392857142,309077.2777777777
2020-06-30,123530,95460,51748,434033,75522.0,5226.0,12439,0.22359835343603388,0.7764016465639662,14183,11831,16.0,392501.492063492,369399.60515873024,761901.0972222221
2020-07-01,125833,98020,53391,450729,76347.0,4482.0,9939,0.1928704494294807,0.8071295505705193,14753,12447,16.0,413637.90079365065,379250.4047619049,792888.3055555555
2020-07-02,105392,85032,50617,374791,75897.0,4029.0,11361,0.2193963269798969,0.7806036730201031,13014,10454,14.0,333418.4206349206,259258.6626984127,592677.0833333333
2020-07-03,125105,98328,54266,439221,79208.0,7200.0,11137,0.2081760065796852,0.7918239934203148,14412,12585,15.0,402014.6230158728,378219.7519841271,780234.375
2020-07-04,103029,84685,49813,365821,85245.0,11473.0,17660,0.32460251815090524,0.6753974818490948,12208,10580,13.0,276629.9662698412,283175.39484126976,559805.361111111
2020-07-05,83783,69111,46897,317115,82554.0,6904.0,16945,0.3133378945616598,0.6866621054383402,10331,7941,12.0,180908.1567460317,214571.50992063488,395479.66666666657
2020-07-06,117190,92034,52324,424865,76560.0,5459.0,11200,0.21488459546056293,0.7851154045394371,12974,11945,15.0,386243.55158730154,339600.44841269834,725844.0
2020-07-07,126379,99362,54219,457570,76264.0,5280.0,10105,0.19488158605261127,0.8051184139473887,15272,12530,16.0,419019.6349206349,365412.7123015873,784432.3472222221
2020-07-08,125860,99435,54034,452970,75261.0,5075.0,9822,0.1906740177046125,0.8093259822953875,15435,12316,16.0,417482.75396825396,364217.3432539681,781700.0972222221
2020-07-09,109126,85831,46995,389200,70969.0,4262.0,11991,0.2412627512524899,0.7587372487475101,13735,10549,15.0,328507.53373015864,330805.1468253969,659312.6805555555
2020-07-10,100869,79603,43216,353323,68956.0,6255.0,13153,0.2732579881165081,0.726742011883492,12889,9960,15.0,276774.08928571426,315767.5218253969,592541.6111111111
2020-07-11,82168,67676,39977,303310,73484.0,9434.0,18412,0.3744255094155448,0.6255744905844551,10468,8010,13.0,222643.253968254,275200.0099206349,497843.26388888893
